idfangraphs,mlbid,Name,Year,Team,age,wOBA,AVG,OBP,SLG,PA,AB,R,H,S,D,T,HR,RBI,SB,CS,BB,SO
20123,665742,Juan Soto,2022,WSN,24,0.448,0.322,0.441,0.579,641,494,109,159,95,30,2,31,101,12,4,120,106
10155,545361,Mike Trout,2022,LAA,31,0.415,0.283,0.391,0.568,529,428,83,121,65,23,3,31,82,6,2,77,119
11579,547180,Bryce Harper,2022,PHI,30,0.409,0.282,0.392,0.545,633,510,96,144,76,34,2,32,89,14,3,98,140
19709,665487,Fernando Tatis Jr.,2022,SDP,23,0.403,0.291,0.369,0.576,631,550,110,160,86,31,3,40,103,24,5,66,156
5361,518692,Freddie Freeman,2022,FA,33,0.4,0.3,0.389,0.525,612,514,100,154,94,31,2,27,90,6,2,78,105
19556,670541,Yordan Alvarez,2022,HOU,25,0.39,0.287,0.362,0.547,596,523,90,150,81,35,1,33,105,2,1,58,137
19611,665489,Vladimir Guerrero Jr.,2022,TOR,23,0.388,0.293,0.371,0.525,658,577,98,169,103,32,3,32,96,4,1,69,109
16252,607208,Trea Turner,2022,LAD,29,0.383,0.31,0.366,0.519,656,594,105,184,117,36,5,26,81,29,6,50,116
19197,669257,Will Smith,2022,LAD,27,0.381,0.266,0.363,0.509,579,485,83,129,72,27,2,29,91,4,0,66,117
13590,608385,Jesse Winker,2022,CIN,29,0.379,0.276,0.37,0.5,606,522,86,144,83,31,1,28,76,3,1,68,116
15640,592450,Aaron Judge,2022,NYY,30,0.378,0.272,0.357,0.518,635,552,95,150,89,23,1,37,92,5,2,72,164
12861,543685,Anthony Rendon,2022,LAA,32,0.377,0.277,0.373,0.48,536,452,72,125,75,28,2,20,78,3,1,67,87
13510,608070,Jose Ramirez,2022,CLE,30,0.375,0.267,0.348,0.521,644,559,99,149,78,35,4,33,100,23,5,69,104
12161,593428,Xander Bogaerts,2022,BOS,30,0.375,0.291,0.362,0.496,632,556,93,162,101,34,1,26,85,9,1,63,120
13624,608369,Corey Seager,2022,TEX,28,0.375,0.288,0.356,0.51,584,518,83,149,88,34,3,25,87,3,1,54,104
17678,608324,Alex Bregman,2022,HOU,28,0.375,0.27,0.37,0.481,576,486,80,131,77,30,2,23,79,3,1,75,86
13611,605141,Mookie Betts,2022,LAD,30,0.374,0.275,0.362,0.495,639,550,108,151,89,31,3,28,77,15,4,73,106
17350,646240,Rafael Devers,2022,BOS,26,0.373,0.285,0.346,0.519,659,592,100,169,94,41,2,31,107,5,4,52,140
18345,663656,Kyle Tucker,2022,HOU,25,0.373,0.283,0.344,0.522,598,534,86,151,83,35,6,27,96,16,2,53,111
12856,543807,George Springer,2022,TOR,33,0.373,0.263,0.349,0.515,584,509,91,134,74,23,3,33,84,6,3,62,121
2434,443558,Nelson Cruz,2022,FA,42,0.372,0.271,0.342,0.515,544,472,73,128,76,20,1,31,81,2,1,51,132
19251,624413,Pete Alonso,2022,NYM,28,0.371,0.256,0.341,0.517,634,547,84,140,76,25,2,38,94,3,0,62,144
13613,606466,Ketel Marte,2022,ARI,29,0.371,0.299,0.355,0.499,580,525,75,157,97,37,4,20,71,6,1,43,90
10264,474832,Brandon Belt,2022,SFG,34,0.371,0.26,0.359,0.494,580,496,80,129,71,29,3,27,75,4,2,74,132
19755,660271,Shohei Ohtani,2022,LAA,28,0.368,0.254,0.343,0.504,653,556,92,141,74,27,5,34,93,21,6,79,175
18882,664040,Brandon Lowe,2022,TBR,28,0.367,0.258,0.343,0.509,653,570,96,147,78,31,2,36,99,8,1,67,172
11477,592885,Christian Yelich,2022,MIL,31,0.367,0.257,0.365,0.463,603,501,89,129,77,24,2,25,70,14,3,86,147
14344,621566,Matt Olson,2022,OAK,28,0.366,0.253,0.345,0.495,652,554,87,140,77,27,1,35,103,4,1,77,146
19612,666182,Bo Bichette,2022,TOR,24,0.366,0.298,0.347,0.498,651,600,104,179,116,35,2,27,94,19,3,42,131
15351,#N/A,Frank Schwindel,2022,CHC,29,0.366,0.287,0.343,0.506,528,480,76,138,81,32,2,23,74,5,2,39,98
11493,592518,Manny Machado,2022,SDP,30,0.364,0.276,0.343,0.49,636,555,89,153,94,28,2,29,96,10,4,62,112
19290,668227,Randy Arozarena,2022,TBR,27,0.364,0.273,0.355,0.472,606,527,93,144,88,29,2,24,72,19,7,55,157
12927,607043,Brandon Nimmo,2022,NYM,29,0.364,0.267,0.376,0.439,596,501,79,134,87,25,5,17,54,6,4,80,127
11368,518735,Yasmani Grandal,2022,CHW,34,0.364,0.238,0.366,0.45,563,458,76,109,63,20,1,25,75,3,1,92,135
19326,668804,Bryan Reynolds,2022,PIT,27,0.363,0.276,0.356,0.472,641,561,87,155,94,32,6,22,79,5,2,66,137
11737,592206,Nick Castellanos,2022,FA,30,0.363,0.273,0.332,0.512,552,498,82,136,73,34,2,27,76,3,2,40,126
9218,502671,Paul Goldschmidt,2022,STL,35,0.362,0.274,0.357,0.466,661,577,90,158,100,31,1,26,83,7,1,74,141
7304,521692,Salvador Perez,2022,KCR,32,0.362,0.277,0.321,0.526,639,591,83,164,95,30,0,39,108,3,1,31,155
21523,663697,Jonathan India,2022,CIN,28,0.362,0.266,0.363,0.453,630,537,92,143,87,33,2,21,71,11,3,67,138
14161,621439,Byron Buxton,2022,MIN,29,0.362,0.268,0.317,0.536,543,500,83,134,66,34,2,32,79,14,3,31,129
10324,542303,Marcell Ozuna,2022,ATL,32,0.362,0.267,0.349,0.483,530,464,68,124,75,23,1,25,84,4,1,59,117
4949,519317,Giancarlo Stanton,2022,NYY,33,0.361,0.26,0.348,0.482,610,531,70,138,82,25,0,31,88,3,2,69,161
16472,656555,Rhys Hoskins,2022,PHI,29,0.361,0.24,0.349,0.476,596,504,84,121,60,31,2,28,81,4,2,77,140
12546,543068,C.J. Cron,2022,COL,32,0.361,0.261,0.344,0.486,588,514,72,134,74,30,1,28,89,2,0,56,131
15676,547989,Jose Abreu,2022,CHW,35,0.36,0.272,0.337,0.491,650,578,86,157,93,32,1,31,114,2,1,49,145
18360,663586,Austin Riley,2022,ATL,25,0.359,0.277,0.34,0.485,644,575,85,159,98,29,2,29,96,2,1,51,160
14811,572228,Luke Voit,2022,NYY,31,0.359,0.256,0.338,0.491,526,464,73,119,72,17,1,30,81,2,0,50,134
13066,606192,Teoscar Hernandez,2022,TOR,30,0.358,0.271,0.33,0.504,619,564,88,153,92,27,1,34,100,12,3,46,166
18607,665120,Jared Walsh,2022,LAA,29,0.358,0.271,0.33,0.498,613,550,77,149,85,32,3,29,98,3,1,47,144
17988,663886,Tyler Stephenson,2022,CIN,26,0.358,0.28,0.359,0.448,532,464,73,130,87,25,1,17,66,2,1,53,109
13301,571970,Max Muncy,2022,LAD,32,0.357,0.234,0.348,0.464,624,522,93,122,67,22,1,32,86,4,1,85,141
17027,657077,Alex Verdugo,2022,BOS,26,0.357,0.293,0.353,0.456,615,550,87,161,108,35,2,17,62,8,1,51,107
5038,518626,Josh Donaldson,2022,MIN,37,0.357,0.242,0.348,0.462,594,500,78,121,67,26,0,28,75,3,1,79,134
12564,596115,Trevor Story,2022,FA,30,0.357,0.268,0.339,0.486,561,500,84,134,76,30,5,23,67,20,5,50,134
16376,624424,Michael Conforto,2022,FA,29,0.357,0.263,0.36,0.444,497,426,66,112,71,23,0,18,62,4,2,56,112
9874,518934,DJ LeMahieu,2022,NYY,34,0.356,0.293,0.359,0.445,668,598,96,175,125,27,2,20,75,6,2,60,98
15172,641313,Tim Anderson,2022,CHW,29,0.356,0.306,0.342,0.478,637,598,105,183,125,33,2,22,68,17,6,31,138
14162,621043,Carlos Correa,2022,FA,28,0.356,0.272,0.347,0.462,574,504,78,137,86,28,1,22,78,2,0,57,117
5235,457759,Justin Turner,2022,LAD,38,0.355,0.271,0.354,0.448,628,549,85,149,99,26,1,23,80,4,0,59,109
14854,573262,Mike Yastrzemski,2022,SFG,32,0.355,0.255,0.336,0.481,589,514,85,131,69,31,5,25,79,5,2,59,143
9256,572041,A.J. Pollock,2022,LAD,35,0.355,0.271,0.327,0.495,542,491,70,133,77,27,1,27,78,8,2,38,114
20043,673357,Luis Robert,2022,CHW,25,0.355,0.276,0.338,0.479,539,486,75,134,82,28,1,23,73,14,3,42,133
16478,656941,Kyle Schwarber,2022,FA,29,0.355,0.24,0.339,0.476,490,420,68,101,54,19,1,26,65,2,1,59,128
9777,571448,Nolan Arenado,2022,STL,31,0.354,0.269,0.325,0.489,633,562,81,151,89,30,2,30,95,3,1,52,95
18373,663624,Ryan Mountcastle,2022,BAL,25,0.354,0.275,0.334,0.478,626,563,76,155,100,25,1,29,93,5,3,49,151
18577,663647,Ke'Bryan Hayes,2022,PIT,25,0.354,0.285,0.351,0.454,582,520,79,148,96,32,4,16,64,10,1,51,124
16556,645277,Ozzie Albies,2022,ATL,25,0.353,0.276,0.329,0.486,650,591,97,163,95,36,5,26,92,16,4,47,121
4314,458015,Joey Votto,2022,CIN,39,0.352,0.245,0.345,0.453,614,523,79,128,73,26,1,27,75,3,0,80,136
15429,592178,Kris Bryant,2022,FA,30,0.352,0.256,0.344,0.458,529,461,77,118,69,26,2,21,60,6,1,54,123
17232,660162,Yoan Moncada,2022,CHW,27,0.351,0.266,0.353,0.439,645,561,82,149,94,32,4,19,73,5,2,72,167
17982,664034,Ty France,2022,SEA,28,0.351,0.28,0.352,0.44,627,557,78,156,105,31,2,18,76,2,1,46,123
13145,605137,Josh Bell,2022,WSN,30,0.351,0.256,0.337,0.46,615,531,78,136,82,25,1,27,87,1,1,66,128
11445,592192,Mark Canha,2022,NYM,33,0.351,0.243,0.361,0.417,615,511,85,124,77,24,4,19,69,9,2,76,132
18568,650333,Luis Arraez,2022,MIN,25,0.351,0.305,0.366,0.414,606,541,79,165,124,30,4,7,59,4,2,54,73
14566,614177,Franmil Reyes,2022,CLE,27,0.351,0.26,0.328,0.481,591,524,72,136,81,24,1,30,89,3,1,55,163
17484,650391,Eloy Jimenez,2022,CHW,26,0.351,0.271,0.323,0.493,514,473,62,128,77,25,1,26,80,2,0,35,123
18036,630105,Jake Cronenworth,2022,SDP,28,0.35,0.268,0.339,0.458,638,563,88,151,90,36,7,19,70,6,3,57,104
6184,502110,J.D. Martinez,2022,BOS,35,0.35,0.263,0.33,0.47,633,559,81,147,84,37,2,25,87,2,0,58,147
19238,666971,Lourdes Gurriel Jr.,2022,TOR,29,0.35,0.277,0.327,0.48,600,548,74,152,93,32,2,25,86,6,3,40,126
15149,641820,Trey Mancini,2022,BAL,30,0.35,0.267,0.337,0.461,599,532,80,142,86,32,1,23,74,2,0,52,132
3473,519203,Anthony Rizzo,2022,FA,33,0.35,0.249,0.347,0.438,548,466,67,116,72,21,2,21,63,6,2,55,91
17929,656775,Cedric Mullins II,2022,BAL,28,0.349,0.272,0.335,0.461,659,588,82,160,101,30,6,23,60,24,6,53,133
7859,453568,Charlie Blackmon,2022,COL,36,0.349,0.279,0.342,0.45,629,560,85,156,103,31,4,19,86,4,2,50,112
4106,488726,Michael Brantley,2022,HOU,35,0.349,0.291,0.349,0.443,613,557,79,162,108,36,2,15,69,4,1,47,85
19966,666915,Bobby Dalbec,2022,BOS,27,0.349,0.249,0.318,0.496,553,498,67,124,66,25,4,30,86,3,1,44,173
15161,641598,Mitch Garver,2022,MIN,31,0.349,0.244,0.331,0.471,499,435,67,106,58,22,1,25,66,2,1,53,140
12533,543760,Marcus Semien,2022,TEX,32,0.348,0.255,0.331,0.47,673,600,97,153,86,33,3,30,82,11,2,67,129
15672,640457,Austin Meadows,2022,TBR,27,0.348,0.251,0.329,0.467,620,542,82,136,74,31,4,26,90,8,4,61,141
15998,641355,Cody Bellinger,2022,LAD,27,0.348,0.246,0.33,0.464,537,463,75,114,65,22,2,25,71,9,2,61,108
9166,457763,Buster Posey,2022,FA,35,0.348,0.274,0.349,0.434,427,376,54,103,69,21,0,13,47,1,0,43,82
15653,642086,Dominic Smith,2022,NYM,27,0.348,0.27,0.335,0.459,373,333,44,90,54,22,1,13,53,2,1,28,82
15362,643446,Jeff McNeil,2022,NYM,30,0.348,0.28,0.35,0.434,357,318,42,89,59,20,1,9,38,2,2,28,53
9241,516782,Starling Marte,2022,NYM,34,0.347,0.281,0.344,0.443,625,562,93,158,106,32,4,17,71,31,5,41,116
17919,664023,Ian Happ,2022,CHC,28,0.347,0.244,0.334,0.46,607,528,74,129,73,26,2,28,77,7,4,68,159
15711,641933,Tyler O'Neill,2022,STL,27,0.347,0.254,0.325,0.477,607,543,87,138,80,27,2,30,81,13,3,49,169
11609,575929,Willson Contreras,2022,CHC,30,0.347,0.248,0.342,0.441,602,517,82,128,77,26,1,24,74,5,4,58,154
14128,608336,Joey Gallo,2022,NYY,29,0.346,0.213,0.335,0.451,627,521,84,111,56,20,1,34,78,7,1,92,201
11739,592663,J.T. Realmuto,2022,PHI,31,0.346,0.263,0.334,0.455,604,536,83,141,87,28,3,23,83,11,2,50,138
12649,543105,Alex Dickerson,2022,FA,32,0.346,0.259,0.329,0.465,398,355,53,92,54,19,3,16,52,2,1,33,86
16578,650490,Yandy Diaz,2022,TBR,31,0.345,0.265,0.355,0.411,581,499,71,132,93,23,1,16,63,3,1,70,98
19566,663993,Nate Lowe,2022,TEX,27,0.344,0.261,0.346,0.428,607,528,75,138,92,24,2,20,72,7,1,69,155
13757,621035,Chris Taylor,2022,LAD,32,0.344,0.256,0.338,0.441,600,524,83,134,81,29,4,20,76,10,2,62,159
10047,571976,Wil Myers,2022,SDP,32,0.344,0.255,0.329,0.462,580,517,72,132,76,29,3,24,77,10,5,56,160
23667,#N/A,Wander Franco,2022,TBR,29,0.344,0.272,0.337,0.447,540,486,81,132,84,28,6,15,66,5,2,45,88
10681,570482,Gio Urshela,2022,NYY,31,0.344,0.278,0.331,0.456,532,485,65,135,87,27,1,19,71,3,1,37,109
16572,656582,Connor Joe,2022,COL,30,0.344,0.26,0.343,0.431,525,457,60,119,78,22,1,18,72,3,1,54,110
19508,641786,Kyle Lewis,2022,SEA,27,0.344,0.257,0.343,0.433,495,432,66,111,76,14,1,20,56,8,1,56,130
5827,527038,Wilmer Flores,2022,SFG,31,0.344,0.267,0.328,0.463,360,326,46,87,54,17,1,15,46,2,0,28,58
15986,642715,Willy Adames,2022,MIL,27,0.343,0.26,0.33,0.457,627,562,83,146,85,35,2,24,73,6,3,59,173
22168,668731,Akil Baddoo,2022,DET,24,0.343,0.264,0.336,0.446,587,522,77,138,87,27,7,18,72,18,4,57,141
5417,514888,Jose Altuve,2022,HOU,32,0.342,0.263,0.328,0.453,667,598,103,157,98,31,1,27,77,6,5,58,110
18564,663757,Trent Grisham,2022,SDP,26,0.342,0.25,0.338,0.434,634,549,86,137,84,28,5,21,73,16,3,69,146
13621,600869,Jeimer Candelario,2022,DET,29,0.342,0.261,0.341,0.435,627,556,75,145,89,35,4,18,70,3,1,63,142
5343,543063,Brandon Crawford,2022,SFG,35,0.342,0.261,0.332,0.442,615,541,77,141,87,31,2,21,82,7,3,56,132
16997,650402,Gleyber Torres,2022,NYY,26,0.342,0.266,0.341,0.427,577,508,70,135,89,25,0,19,68,9,3,58,115
20521,663611,Nick Madrigal,2022,CHC,25,0.342,0.297,0.351,0.416,478,437,56,130,99,20,4,8,52,6,3,31,63
sa3011225,677951,Bobby Witt Jr.,2022,KCR,22,0.342,0.262,0.334,0.44,437,386,56,101,64,20,2,15,53,6,2,40,93
14221,624585,Jorge Soler,2022,FA,30,0.341,0.236,0.324,0.457,544,475,66,112,60,25,1,26,73,2,1,57,140
13152,593871,Jorge Polanco,2022,MIN,29,0.34,0.269,0.326,0.453,642,581,86,156,99,32,3,23,78,9,4,48,115
