idfangraphs,mlbid,Name,Year,Team,Age,ERA,WHIP,W,L,W%,G,GS,SV%,SV,HLD,BS,IP,H,ER,HR,BB,SO,SO%,BB%,R
14212,623352,Josh Hader,2022,MIL,28,3.22,1.07,4,4,0.5,51,0,0.91,35,2,2,67,46,24,8,26,93,40.50%,9.40%,25
3548,521230,Liam Hendriks,2022,CHW,33,3.17,1.03,6,4,0.6,54,0,0.86,38,2,3,71,55,25,9,18,90,40.00%,6.20%,28
15816,642207,Devin Williams,2022,MIL,28,3.22,1.18,6,3,0.67,49,0,0.5,2,22,2,67,51,24,7,28,88,39.00%,9.90%,28
14710,621242,Edwin Diaz,2022,NYM,28,3.84,1.24,4,5,0.44,54,0,0.8,35,3,4,68,57,29,8,27,90,35.50%,9.20%,32
10233,547973,Aroldis Chapman,2022,NYY,34,3.74,1.28,5,4,0.56,51,0,0.81,32,2,4,65,52,27,10,31,86,37.50%,11.00%,30
6655,518886,Craig Kimbrel,2022,CHW,34,3.95,1.24,4,5,0.44,52,0,0.8,28,8,3,66,53,29,9,29,87,39.40%,10.10%,32
20151,675916,James Karinchak,2022,CLE,27,3.9,1.24,5,4,0.56,51,0,0.56,5,10,4,67,52,29,9,31,86,29.90%,10.80%,32
17130,628452,Raisel Iglesias,2022,LAA,32,3.6,1.16,6,6,0.5,53,0,0.82,36,3,4,70,60,28,10,21,85,36.80%,7.10%,33
13470,608371,Lucas Sims,2022,CIN,28,4.02,1.18,5,3,0.62,44,0,0.6,23,7,2,65,52,29,9,25,80,28.80%,9.00%,33
12863,598264,Matt Barnes,2022,BOS,32,4.23,1.3,5,5,0.5,53,0,0.71,24,6,5,66,57,31,10,29,83,34.70%,10.00%,34
13892,623149,Paul Sewald,2022,SEA,32,4.16,1.24,6,3,0.67,47,0,0.62,19,9,3,67,58,31,10,25,80,37.70%,8.70%,34
17186,659275,Dinelson Lamet,2022,SDP,30,3.62,1.21,4,4,0.5,28,9,1,5,8,0,82,68,33,10,31,97,27.60%,8.80%,36
16122,605447,Jordan Romano,2022,TOR,29,3.36,1.21,6,3,0.67,50,0,0.91,32,2,1,67,55,25,9,26,79,32.60%,9.10%,28
6398,543507,Trevor May,2022,NYM,33,3.97,1.28,5,3,0.62,55,0,0.6,3,14,2,68,61,30,10,26,81,27.50%,8.80%,34
15552,643338,Chad Green,2022,NYY,31,3.89,1.12,6,6,0.5,51,2,0.5,3,15,3,74,60,32,12,23,84,27.20%,7.40%,36
7005,519151,Ryan Pressly,2022,HOU,34,3.44,1.21,4,4,0.5,53,0,0.78,34,5,4,68,60,26,8,22,78,31.00%,7.60%,30
13801,613534,Austin Adams,2022,SDP,31,4.22,1.27,4,3,0.57,50,0,0.5,1,9,1,64,50,30,6,31,77,26.90%,10.80%,33
14986,606149,Giovanny Gallegos,2022,STL,31,3.62,1.07,5,4,0.56,53,0,0.7,33,5,3,72,55,29,8,22,80,26.80%,7.40%,30
5003,518617,Jake Diekman,2022,FA,35,3.9,1.32,3,3,0.5,49,0,0.5,3,13,3,60,50,26,8,29,71,26.80%,10.90%,29
19848,650382,Darwinzon Hernandez,2022,BOS,26,3.84,1.38,3,3,0.5,45,0,0.33,1,8,2,61,51,26,7,33,73,26.70%,12.10%,29
13449,573124,Taylor Rogers,2022,MIN,32,3.92,1.27,4,5,0.44,45,0,0.77,31,6,3,62,61,27,8,18,72,26.70%,6.70%,31
17610,663432,Tanner Rainey,2022,WSN,30,4.65,1.35,3,4,0.43,46,0,0.5,17,6,2,60,51,31,9,30,71,26.60%,11.20%,33
11804,593576,Hector Neris,2022,HOU,33,4.06,1.3,4,6,0.4,56,0,0.64,7,16,5,71,62,32,10,30,82,26.40%,9.60%,36
8048,519293,Will Smith,2022,ATL,33,3.91,1.2,4,5,0.44,54,0,0.85,30,4,3,69,57,30,12,26,78,26.40%,8.80%,32
12804,605538,Matt Wisler,2022,TBR,30,3.9,1.24,3,5,0.38,46,3,0.5,2,10,2,67,59,29,9,24,76,26.40%,8.30%,32
17998,664126,Peter Fairbanks,2022,TBR,29,4.08,1.38,6,6,0.5,49,1,0.6,3,16,2,64,60,29,7,28,75,26.40%,9.90%,33
15015,621052,Alex Reyes,2022,STL,28,3.8,1.34,7,6,0.54,51,1,0.86,5,7,2,71,56,30,9,39,82,26.30%,12.50%,35
7146,543339,Daniel Hudson,2022,LAD,35,4.15,1.26,6,4,0.6,50,0,0.56,5,12,4,65,57,30,10,25,74,26.30%,8.90%,33
16390,623364,Brad Wieck,2022,CHC,31,4,1.3,3,3,0.5,35,0,0.5,1,4,1,54,48,24,7,22,62,26.30%,9.30%,26
27463,676979,Garrett Crochet,2022,CHW,23,3.52,1.22,4,4,0.5,45,0,0.5,1,9,1,64,53,25,6,25,72,26.20%,9.10%,28
9794,571521,Rex Brothers,2022,FA,35,4.85,1.38,3,3,0.5,37,0,0.5,1,5,1,52,46,28,8,26,61,26.20%,11.20%,29
