idfangraphs,mlbid,Name,Year,Team,Age,ERA,WHIP,W,L,W%,G,GS,CG,SHO,IP,H,ER,HR,BB,SO,SO%,BB%,R
18684,645261,Sandy Alcantara,2022,MIA,27,3.25,1.08,9,12,0.43,32,32,1,0,205,167,74,22,54,220,26.40%,6.90%,87
10310,554430,Zack Wheeler,2022,PHI,32,3.15,1.06,11,9,0.55,32,32,1,1,205,172,72,18,45,232,27.80%,5.80%,79
13125,543037,Gerrit Cole,2022,NYY,32,3.01,1.01,15,8,0.65,32,32,2,1,200,152,67,30,50,260,32.50%,6.60%,74
19374,621111,Walker Buehler,2022,LAD,28,3.02,1.05,13,5,0.72,32,32,0,0,200,156,67,23,54,207,26.00%,6.80%,74
16162,605540,Brandon Woodruff,2022,MIL,29,3.15,1.04,9,10,0.47,32,32,1,0,197,153,69,22,52,217,27.70%,6.90%,73
16149,605400,Aaron Nola,2022,PHI,29,3.65,1.12,10,10,0.5,31,31,1,1,195,168,79,27,50,227,28.60%,6.50%,84
19361,669203,Corbin Burnes,2022,MIL,28,2.95,1.01,11,7,0.61,32,32,0,0,192,141,63,16,53,243,31.50%,7.40%,68
2233,425794,Adam Wainwright,2022,STL,41,3.67,1.21,14,9,0.61,30,30,2,0,189,172,77,24,57,160,20.10%,7.10%,81
19479,650644,Aaron Civale,2022,CLE,27,3.93,1.21,10,8,0.56,30,30,1,0,185,174,81,28,50,154,21.20%,6.70%,86
14309,593423,Frankie Montas,2022,OAK,29,3.65,1.22,11,9,0.55,31,31,0,0,185,166,75,24,60,191,25.10%,8.00%,83
15038,608566,German Marquez,2022,COL,27,4.1,1.25,11,11,0.5,31,31,1,1,185,170,84,22,61,179,22.80%,7.70%,92
14107,592332,Kevin Gausman,2022,TOR,31,3.63,1.14,11,8,0.58,30,30,0,0,185,157,75,23,54,207,27.30%,7.30%,82
17995,657277,Logan Webb,2022,SFG,26,3.72,1.17,11,8,0.58,30,30,0,0,185,161,76,17,55,181,23.40%,7.60%,84
13431,573186,Marcus Stroman,2022,CHC,31,3.65,1.21,10,12,0.45,30,30,0,0,185,171,75,20,53,164,21.30%,6.90%,85
13743,608331,Max Fried,2022,ATL,28,3.4,1.14,16,7,0.7,31,31,1,1,185,157,70,18,54,187,24.50%,7.20%,76
19427,669456,Shane Bieber,2022,CLE,27,3.49,1.13,12,6,0.67,29,29,0,0,182,150,71,22,56,206,28.30%,7.40%,77
15689,622491,Luis Castillo,2022,CIN,30,3.65,1.24,10,13,0.43,31,31,1,0,181,161,73,20,63,207,26.50%,8.20%,82
14168,621244,Jose Berrios,2022,TOR,28,3.79,1.2,12,9,0.57,29,29,1,0,180,160,76,22,56,188,24.70%,7.20%,83
14765,628711,Julio Urias,2022,LAD,26,3.37,1.12,14,5,0.74,30,30,0,0,180,151,67,19,51,191,26.10%,6.80%,72
3137,453286,Max Scherzer,2022,NYM,38,3.02,1.03,12,8,0.6,28,28,1,0,180,143,60,25,42,239,32.40%,6.20%,65
11486,592662,Robbie Ray,2022,SEA,31,3.52,1.14,11,10,0.52,30,30,0,0,180,150,70,31,55,232,29.80%,7.50%,74
19979,668676,Zach Plesac,2022,CLE,27,4.17,1.19,10,7,0.59,30,30,0,0,180,172,83,27,42,154,21.50%,5.40%,89
12304,605135,Chris Bassitt,2022,OAK,33,3.65,1.18,12,7,0.63,30,30,0,0,179,157,73,20,54,169,22.70%,7.20%,77
15474,608337,Lucas Giolito,2022,CHW,28,3.55,1.1,11,9,0.55,30,30,1,1,179,139,71,25,58,209,28.40%,8.10%,77
17295,664285,Framber Valdez,2022,HOU,29,3.83,1.22,10,8,0.56,30,30,0,0,178,155,76,18,62,165,22.80%,8.80%,84
2520,458681,Lance Lynn,2022,CHW,35,3.52,1.11,12,8,0.6,30,30,1,0,174,140,68,22,53,189,25.80%,7.70%,74
10123,502043,Kyle Gibson,2022,PHI,35,4.25,1.31,8,9,0.47,30,30,0,0,172,163,81,22,62,147,20.30%,8.70%,87
11836,592836,Taijuan Walker,2022,NYM,30,4.24,1.25,8,10,0.44,30,30,0,0,172,153,81,26,62,156,22.10%,8.50%,90
16358,641816,Tyler Mahle,2022,CIN,28,3.85,1.22,10,8,0.56,31,31,0,0,172,149,74,24,61,192,26.20%,8.50%,80
20492,663554,Casey Mize,2022,DET,25,4.1,1.21,8,11,0.42,30,30,1,0,171,153,78,27,54,149,21.00%,7.60%,84
13896,623167,Chris Flexen,2022,SEA,28,4.31,1.29,11,7,0.61,30,30,0,0,171,173,82,19,48,133,18.70%,6.60%,87
12970,605397,Joe Musgrove,2022,SDP,30,3.6,1.14,10,12,0.45,29,29,1,1,171,142,68,22,53,198,27.30%,7.60%,73
9132,543135,Nathan Eovaldi,2022,BOS,32,3.85,1.22,11,9,0.55,30,30,0,0,171,172,73,21,37,179,24.20%,4.80%,77
22286,669432,Trevor Rogers,2022,MIA,25,3.65,1.16,9,10,0.47,30,30,0,0,171,141,69,16,57,186,26.20%,8.50%,77
19312,615698,Cal Quantrill,2022,CLE,27,4.03,1.27,9,6,0.6,29,29,0,0,170,161,76,21,55,147,21.10%,7.60%,86
17479,656427,Jack Flaherty,2022,STL,27,3.42,1.08,12,7,0.63,28,28,0,0,170,130,65,23,54,179,26.50%,8.30%,71
16269,607644,John Means,2022,BAL,29,3.82,1.15,9,11,0.45,28,28,1,1,170,153,72,32,43,169,24.10%,5.90%,78
22250,669302,Logan Gilbert,2022,SEA,25,3.93,1.22,7,6,0.54,29,29,0,0,170,161,74,24,46,174,26.10%,6.70%,78
22267,669373,Tarik Skubal,2022,DET,26,4.02,1.23,8,12,0.4,30,30,0,0,170,155,76,34,54,177,25.40%,7.80%,81
18525,656302,Dylan Cease,2022,CHW,27,3.85,1.22,12,9,0.57,30,30,0,0,168,143,72,24,62,204,28.70%,8.80%,78
13164,593958,Eduardo Rodriguez,2022,DET,29,3.89,1.26,13,8,0.62,29,29,0,0,168,159,73,21,53,194,26.50%,7.60%,77
17578,664141,Jonathan Brubaker,2022,PIT,29,4.32,1.26,7,13,0.35,29,29,0,0,168,158,81,29,54,166,23.20%,7.90%,85
23735,677651,Luis Garcia,2022,HOU,26,4.15,1.24,8,7,0.53,30,30,0,0,168,151,77,21,57,165,24.80%,8.10%,84
16511,656756,Jordan Montgomery,2022,NYY,30,3.85,1.24,8,9,0.47,29,29,0,0,167,155,71,23,52,170,23.70%,7.50%,77
9323,571578,Patrick Corbin,2022,WSN,33,4.52,1.33,9,14,0.39,29,29,0,0,167,168,84,28,54,157,21.00%,7.80%,88
26410,#N/A,Alek Manoah,2022,TOR,29,3.71,1.18,9,5,0.64,28,28,0,0,165,137,68,19,58,163,25.30%,8.50%,75
10603,519242,Chris Sale,2022,BOS,33,3.62,1.14,9,7,0.56,28,28,0,0,165,143,66,24,45,189,28.50%,7.40%,75
18679,642547,Freddy Peralta,2022,MIL,26,3.54,1.13,10,6,0.62,29,29,1,0,165,126,65,19,60,200,30.60%,9.20%,70
14444,547943,Hyun-Jin Ryu,2022,TOR,35,3.9,1.22,12,8,0.6,28,28,1,1,165,159,72,21,42,149,21.60%,6.10%,76
14916,592351,Jon Gray,2022,TEX,31,4.1,1.25,10,13,0.43,28,28,0,0,165,149,75,23,57,179,24.70%,8.40%,82
7593,543475,Jordan Lyles,2022,BAL,32,4.75,1.35,9,13,0.41,30,30,0,0,165,165,87,31,58,149,20.20%,8.10%,92
12049,543294,Kyle Hendricks,2022,CHC,33,4.1,1.25,12,9,0.57,28,28,1,1,165,169,75,24,37,135,18.90%,5.20%,81
15873,640455,Sean Manaea,2022,OAK,30,3.92,1.22,11,10,0.52,28,28,1,1,165,158,72,23,43,174,24.50%,6.20%,77
13074,506433,Yu Darvish,2022,SDP,36,3.8,1.12,10,10,0.5,27,27,0,0,165,137,70,24,48,210,30.20%,7.00%,75
19291,668678,Zac Gallen,2022,ARI,27,3.75,1.21,7,10,0.41,28,28,1,0,165,140,69,23,60,187,27.00%,8.50%,73
21483,663556,Shane McClanahan,2022,TBR,25,3.69,1.21,12,8,0.6,29,29,0,0,165,149,68,19,51,187,26.80%,7.50%,72
19409,641540,Dane Dunning,2022,TEX,28,4.33,1.33,8,9,0.47,28,28,0,0,162,155,78,20,60,158,22.80%,8.60%,84
19316,641778,Eric Lauer,2022,MIL,27,4.05,1.23,6,7,0.46,28,28,0,0,162,146,73,22,53,147,23.10%,8.50%,78
17277,624133,Ranger Suarez,2022,PHI,27,3.95,1.24,9,7,0.56,29,29,1,1,162,146,71,14,55,142,22.40%,8.00%,78
13361,571927,Steven Matz,2022,STL,31,4.05,1.26,10,10,0.5,29,29,0,0,162,157,73,28,47,155,22.40%,7.30%,79
18331,621076,James Kaprielian,2022,OAK,28,4.19,1.24,7,6,0.54,28,28,0,0,161,146,75,25,54,151,24.00%,8.40%,79
16256,607536,Kyle Freeland,2022,COL,29,4.28,1.37,7,10,0.41,29,29,0,0,161,167,77,25,54,138,19.50%,7.80%,81
5524,518516,Madison Bumgarner,2022,ARI,33,4.42,1.26,8,11,0.42,28,28,1,0,161,155,79,28,48,143,20.40%,6.80%,85
19951,666120,Ian Anderson,2022,ATL,24,3.65,1.21,10,7,0.59,28,28,0,0,160,132,65,18,62,163,24.80%,9.20%,71
11423,500779,Jose Quintana,2022,PIT,33,4.65,1.35,6,7,0.46,28,28,0,0,160,159,83,23,57,147,21.60%,8.90%,92
15467,594835,Marco Gonzales,2022,SEA,30,3.88,1.21,12,8,0.6,28,28,1,0,160,149,69,24,45,136,20.00%,6.50%,75
11156,518876,Merrill Kelly,2022,ARI,34,4.25,1.29,9,10,0.47,28,28,0,0,160,160,76,23,46,137,20.30%,6.80%,81
12768,543243,Sonny Gray,2022,CIN,33,3.96,1.22,9,9,0.5,28,28,0,0,160,133,70,19,62,183,27.50%,9.30%,75
25377,663903,Brady Singer,2022,KCR,26,4.25,1.27,8,10,0.44,27,27,1,0,159,146,75,19,56,156,23.00%,8.60%,83
13834,621219,Alec Mills,2022,CHC,31,4.63,1.33,7,8,0.47,27,27,1,1,158,161,81,25,49,121,19.00%,7.50%,87
13543,605483,Blake Snell,2022,SDP,30,3.72,1.17,9,8,0.53,27,27,0,0,158,128,65,22,57,191,28.70%,9.20%,69
4676,450203,Charlie Morton,2022,ATL,39,3.6,1.15,12,7,0.63,26,26,0,0,158,132,63,16,50,191,28.10%,7.70%,70
12917,605164,Dylan Bundy,2022,MIN,30,4.64,1.28,9,11,0.45,27,27,1,0,157,146,81,24,55,156,23.20%,8.10%,88
10021,501985,Mike Minor,2022,KCR,35,4.76,1.27,8,13,0.38,28,28,1,1,157,148,83,25,51,156,22.40%,7.60%,87
12880,542881,Tyler Anderson,2022,FA,33,4.35,1.29,8,10,0.44,27,27,1,0,157,157,76,22,46,131,19.20%,6.80%,81
13050,543101,Anthony DeSclafani,2022,SFG,32,3.9,1.22,11,9,0.55,27,27,1,1,155,140,67,22,49,146,21.60%,7.60%,71
18413,664353,Jose Urquidy,2022,HOU,27,3.74,1.15,7,5,0.58,27,27,0,0,155,137,64,22,41,127,21.30%,6.50%,67
